Singular,Plural,Artikel,Bedeutung,Plural Regel,Lektion
Komfort,-,der,Comfort,None :(,5
Konflikt,Konflikte,der,Conflicte,-e,6
Konzert,Konzerte,das,Concert,-e,4
Kopf,Köpfe,der,Cap,¨-e,6
Kotelett,Koteletts,das,Xuleta,-s,3
Krach,-,der,Soroll fort,None :(,5
Krankenhaus,Krankenhäuser,das,Hospital,¨-er,4
Krankenschwester,Krankenschwestern,die,Infermera,-n,4
Krankenversicherungskarte,Krankenversicherungskarten,die,CATSALUT,-n,6
Krankheit,Krankheiten,die,Malaltia,-en,6
Kuchen,Kuchen,der,Pastís,=,3
Kugelschreiber,Kugelschreiber,der,Boli,=,2
Käse,-,der,Formatge,None :(,3
Käsebrot,Käsebrote,das,Pa de formatge,-e,3
Küchen,Küchen,die,Cuina,=,2
Kühlschrank,Kühlschränke,der,Nevera,-e,2
Lampe,Lampen,die,Làmpara,-n,2
Land,Länder,das,País,¨-er,1
Leben,Leben,das,Vida,=,5
Lehrer,Lehrer,der,Professor,=,4
Lehrerin,Lehrerinnen,die,Professora,-nen,4
Licht,-,das,Llum,None :(,6
Luft,-,die,Aire,None :(,6
Lärm,-,der,Soroll,None :(,5
Löffel,Löffel,der,Cullera,=,3
Magen,Mägen,der,Panxa,ä,6
Mann,Männer,der,Home,¨-er,1
Mannschaft,Mannschaften,die,Equip,-en,4
Marmelade,Marmeladen,die,Mermelada,-n,3
Maschine,Maschinen,die,Màquina,-n,4
Medikament,Medikamente,das,Medicament,-e,6
Meer,Meere,das,Mar,-e,4
Mensch,Menschen,der,Éser humà,-en,4
Messer,Messer,das,Ganivet,=,3
Miete,Mieten,die,Lloguer,-n,5
Mietvertrag,Mietverträge,der,Contracte de lloguer,¨-e,5
Mikrowelle,Mikrowellen,die,Microones,-n,2
Milch,-,die,Llet,None :(,3
Mine,Minen,die,Llàpis,-n,2
Mineralwasser,Mineralwasser,das,Aigua mineral,=,3
Mittagessen,Mittagessen,das,Dinar,=,4
Mittowch,-,der,Dimecres,None :(,4
Montag,-,der,Dilluns,None :(,4
Mund,Münder,der,Boca,¨-er,6
Musik,-,die,Música,None :(,4
Mutter,Mütter,die,Mare,ü,2
Mädchen,Mädchen,das,Noia,=,1
Mütze,Mützen,die,Gorro,-n,6
Nachbar,Nachbarn,die,Veí,-n,5
Nacht,Nächte,die,Nit,¨-e,6
Name,Namen,der,Nom,-n,1
Nase,Nasen,die,Nas,-n,6
Natur,-,die,Naturalesa,None :(,5
Nummer,Nummern,die,Número,-n,5
Obst,-,das,Fruita,None :(,3
Orangensaft,Orangensäfte,der,Suc de taronja,¨-er,3
Papier,-,das,Paper,None :(,6
Passagier,Passagiere,der,Passatger,-e,4
Pause,Pausen,die,Pausa,-n,4
Pflane,Pflanzen,der,Planta,-n,6
Pflaster,Pflaster,das,Tirita,=,6
Pizza,Pizzen,die,Pizza,-en,3
Postkarte,Postkarten,die,Postal,-n,1
Pullover,Pullover,der,Jersei,=,6
Quadratmeter,Quadratmeter,der,m²,=,5
Radio,Radios,das,Radio,-s,2
Rat,Ratschläge,der,Consell,*,6
Raum,Räume,der,Habitació,¨-e,5
Regal,Regale,das,Prestatge,-e,2
Reis,-,der,Arròs,None :(,3
Reisebüro,Reisebüros,das,Agència de viatges,-s,5
Restaurant,Restaurants,das,Restaurant,-s,4
Rezeption,-,die,Recepció d'hotel,None :(,5
Rind,Rinder,das,Vedella,-er,3
Ruhe,-,die,Tranquil·litat,None :(,5
Rücken,Rücken,der,Esquena,=,6
Salat,Salate,der,Enciam,-e,3
Samstag,-,der,Dissabte,None :(,4
Satz,Sätze,der,Frase,¨-er,4
Schild,Schilder,das,Lletrero,-er,4
Schinken,Schinken,der,Pernil,=,3
Schlafzimmer,Schlafzimmer,das,Dormitori,=,5
Schmerz,Schmerzen,der,Dolor,-en,6
Schnaps,Schnäpse,der,Licor,¨-e,3
Schnupfen,-,der,Constipat,None :(,6
Schornstein,Schornsteine,der,Xemeneia,-e,5
Schrank,Schränke,der,Armari,¨-er,2
Schreibtisch,Schreibtish,der,Escriptori,=,5
Schwein,Schweine,das,Porc,-e,3
Schwimmbad,Schwimmbäder,das,Piscina,¨-er,4
Sessel,Sessel,der,Butaca,=,5
Situation,Situationen,die,Situació,-en,4
Sonnabend,-,der,Dissabte,None :(,4
Sonne,Sonnen,die,Sol,-n,5
Sonnenbad,-,das,Prendre el sol,None :(,4
Sonntag,-,der,Diumenge,None :(,4
Spaziergang,Spaziergänge,der,Passeig,¨-er,4
Spiegel,Spiegel,der,Mirall,=,5
Spiel,Spiele,das,Joc,-e,6
Sport,-,der,Esport,None :(,6
Sprechstunde,Sprechstunden,die,Hora de consulta,-n,6
Spüle,Spülen,die,Fregadero,-n,2
Spülmaschine,Spülmaschinen,die,Rentaplats,-n,2
Steak,Steaks,das,Bistec,-s,3
Steckdose,Steckdosen,die,Endoll (femella),-n,2
Stecker,Stecker,der,Endoll (mascle),=,2
Stock,Stockwerke,der,Planta,*,5
Strand,Strände,der,Platja,¨-e,5
Streit,Streitigkeiten,der,Disputa,*,5
Stuhl,Stühle,der,Cadira,¨-er,2
Stunde,Stunden,die,Hora,-n,5
Stück,Stücke,das,Porció,-e,3
Suppe,Suppen,die,Sopa,-n,3
Tablette,Tabletten,die,Pastilla,-n,6
Tanz,Tänze,der,Ball,¨-e,4
Taschenlampe,Taschenlampen,die,Llanterna,-n,2
Taschenrechner,Taschenrechner,der,Calculadora,=,2
Tasse,Tassen,die,Tassa,-n,3
Taube,Tauben,die,Colom,-n,5
Tee,Tees,der,Tè,-s,3
Telefon,Telefone,das,Telèfon,-e,2
Telefonzelle,Telefonzellen,die,Cabina telefònica,-n,5
Teller,Teller,der,Plat,=,3
Teppich,Teppiche,der,Catifa,-e,5
Terrasse,Terrassen,die,Terrassa,-n,5
Thema,Themen,das,Tema,-en,6
Tipp,Tipps,der,Truc,-s,6
Tisch,Tische,der,Taula,-e,2
Toilette,Toiletten,die,WC,-n,5
Topf,Töpfe,der,Olla,¨-er,2
Torte,Torten,die,Tarta,-n,4
Tropfen,Tropfen,der,Gota,=,6
Uhr,Uhren,die,Rellotge,-en,2
Uhrzeit,Uhrzeiten,die,Hora,-en,4
Urlaub,-,der,Vacances,Nones:(,5
Urteil,Urteile,das,Frase,-e,5
Verband,Verbände,der,Embenat,¨-e,4
Verbandszeug,-,das,Botiquín,None :(,6
Vermieter,-,der,Arrendatari,None :(,5
Verstopfung,-,die,Estrenyiment,None :(,6
Viertel,Viertel,das,Un quart,=,4
Vogel,Vögel,der,Ocell,ö,5
Vorhang,Vorhänge,der,Cortina,¨-e,5
Vortrag,Vorträge,der,Conferència,¨-e,4
WC,WCs,das,WC,-s,5
Wagen,Wagen,der,Cotxe,=,5
Wald,Wälder,der,Bosc,¨-er,5
Wand,Wände,die,Paret,¨-e,5
Ware,Waren,die,Mercancia,-n,5
Waschbecken,Waschbecken,das,Pica de rentar,=,2
Wasser,-,das,Aigua,None :(,3
Wasserhahn,Wasserhähne,der,Grifo,¨-er,2
Wecker,Wecker,der,Despertador,=,6
Wein,Weine,der,Vi,-e,3
Wiese,Wiesen,die,Prat,-n,5
Woche,Wochen,die,Setmana,-n,5
Wochenende,Wochenenden,das,Cap de setmana,-n,6
Wohnung,Wohnungen,die,Pis,-en,4
Wohnzimmer,Wohnzimmer,das,Sala d'estar,=,5
Wurst,Wursten,der,Saltxitxa,-en,3
Wurstbrot,Wurstbrote,das,Pa de saltxitxa,-e,3
Wörterbuch,Wörterbucher,das,Diccionari,-er,2
Zahl,Zahlen,die,Número,-en,1
Zahn,Zähne,der,Dent,¨-e,6
Zeitung,Zeitungen,die,Diari,-en,4
Zigarette,Zigaretten,die,Cigarret,-n,4
Zimmer,Zimmer,das,Habitació,=,5
Zwiebel,Zwiebeln,die,Ceba,-n,3
Ärztin,Ärtzinnen,die,Metgessa,-nen,6
